feature,importance,importance_std
neighbourhood_group_cleansed_Manhattan,0.34506195520427124,0.005262897100712509
beds,0.294251650699498,0.001411927069800431
room_type_Private Room,0.23203257688617582,0.003956224084794754
desc_len,0.18496332445260902,0.003298179393234575
number_of_reviews,0.1819292059288702,0.001666457352286497
bedrooms,0.17405897466230671,0.0015016211999781541
name_len,0.11874024700504626,0.0014100498259541061
review_scores_rating,0.07709161284156947,0.0013458386988262777
host_is_superhost,0.06320138162581183,0.0017691121554613016
neighbourhood_group_cleansed_Brooklyn,0.04579466700869358,0.00076953300667962
room_type_Hotel Room,0.04365066854586963,0.0004772885707405116
room_type_Shared Room,0.021392171812716725,0.00039321744320858394
neighbourhood_group_cleansed_Queens,0.006660278563246136,0.00016867173806892755
neighbourhood_group_cleansed_Staten Island,0.0016919811312967974,8.52788772556312e-05
